"","id","Cm","dN","dC","Whale_1","Whale","Sex","Status","Talla_fetus_(cm)","Sexe_fetus","Length","Talla_(peus)","Data_capt","Lat","Long","Edat","Year","days","rev_days","sample_date","year.x","year_rev","Year_from_sample_date","Year_month","Month_from_sample_date","Species","region","year.y","d13c.uncor","Laws.cor","Suess.cor","net.cor","d13c.cor","measured","measured_date_formatted","month_f","year_f","whale_id","julian_day","sample_ID","mean_NAO_linear_start_m","mean_NAO_linear_end_m","mean_AMO_linear_start_m","mean_AMO_linear_end_m","mean_AMOC_linear_start_m","mean_AMOC_linear_end_m","overall_start","overall_end","mean_NAO_start_m_int","mean_NAO_start_m_date","mean_NAO_end_m_int","mean_NAO_end_m_date","mean_AMO_start_m_int","mean_AMO_start_m_date","mean_AMO_end_m_int","mean_AMO_end_m_date","mean_AMOC_start_m_int","mean_AMOC_start_m_date","mean_AMOC_end_m_int","mean_AMOC_end_m_date","overall_start_int","overall_start_date","overall_end_int","overall_end_date","mean_NAO_dC","mean_AMO_dC","mean_AMOC_dC","mean_NAO","mean_AMO","mean_AMOC"
"1",1,-4,8.85498469730629,-19.7158971929494,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,0,-981.609375,2010-11-14,2010,2013-07-23,"2013","2013/07","07","fin","Subpolar North Atlantic",2013,-19.7158971929494,-0.006,-0.292,-0.297,-20.013,2013-07-23,"23/07/2013","07","2013","F13065",203,1,2011-07-23,2013-01-23,2012-09-23,2012-10-23,2010-10-23,2011-08-23,2010-07-23,2013-07-23,2011-07-23,2011-07-23,2013-01-23,2013-01-23,2012-09-23,2012-09-23,2012-10-23,2012-10-23,2010-10-23,2010-10-23,2011-08-23,2011-08-23,2010-07-23,2010-07-23,2013-07-23,2013-07-23,-0.175555555555556,0.308,15.263264267246,-0.300277777777778,0.147722222222222,15.9117103620304
"2",2,-3,9.22987342189465,-19.2913243954443,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,22.828125,-958.78125,2010-12-07,2010,2013-06-30,"2013","2013/06","06","fin","Subpolar North Atlantic",2013,-19.2913243954443,-0.006,-0.292,-0.297,-19.589,2013-06-30,"30/06/2013","06","2013","F13065",180,2,2011-06-30,2012-12-30,2012-08-30,2012-09-30,2010-09-30,2011-07-30,2010-06-30,2013-06-30,2011-06-30,2011-06-30,2012-12-30,2012-12-30,2012-08-30,2012-08-30,2012-09-30,2012-09-30,2010-09-30,2010-09-30,2011-07-30,2011-07-30,2010-06-30,2010-06-30,2013-06-30,2013-06-30,-0.251666666666667,0.427,15.535804353241,-0.330555555555556,0.154944444444444,15.9930481336973
"3",3,-2,9.45726494336628,-19.0558977731311,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,45.65625,-935.953125,2010-12-30,2010,2013-06-07,"2013","2013/06","06","fin","Subpolar North Atlantic",2013,-19.0558977731311,-0.006,-0.292,-0.297,-19.353,2013-06-07,"07/06/2013","06","2013","F13065",157,3,2011-06-07,2012-12-07,2012-08-07,2012-09-07,2010-09-07,2011-07-07,2010-06-07,2013-06-07,2011-06-07,2011-06-07,2012-12-07,2012-12-07,2012-08-07,2012-08-07,2012-09-07,2012-09-07,2010-09-07,2010-09-07,2011-07-07,2011-07-07,2010-06-07,2010-06-07,2013-06-07,2013-06-07,-0.251666666666667,0.427,15.535804353241,-0.330555555555556,0.154944444444444,15.9930481336973
"4",4,-1,9.98784516013341,-19.0428185163359,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,68.484375,-913.125,2011-01-21,2011,2013-05-15,"2013","2013/05","05","fin","Subpolar North Atlantic",2013,-19.0428185163359,-0.006,-0.292,-0.297,-19.34,2013-05-15,"15/05/2013","05","2013","F13065",134,4,2011-05-15,2012-11-15,2012-07-15,2012-08-15,2010-08-15,2011-06-15,2010-05-15,2013-05-15,2011-05-15,2011-05-15,2012-11-15,2012-11-15,2012-07-15,2012-07-15,2012-08-15,2012-08-15,2010-08-15,2010-08-15,2011-06-15,2011-06-15,2010-05-15,2010-05-15,2013-05-15,2013-05-15,-0.31,0.41,15.9587441407864,-0.368055555555556,0.166111111111111,15.9736509312282
"5",5,0,9.88925019067536,-19.263205792919,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,91.3125,-890.296875,2011-02-13,2011,2013-04-22,"2013","2013/04","04","fin","Subpolar North Atlantic",2013,-19.263205792919,-0.006,-0.292,-0.297,-19.561,2013-04-22,"22/04/2013","04","2013","F13065",111,5,2011-04-22,2012-10-22,2012-06-22,2012-07-22,2010-07-22,2011-05-22,2010-04-22,2013-04-22,2011-04-22,2011-04-22,2012-10-22,2012-10-22,2012-06-22,2012-06-22,2012-07-22,2012-07-22,2010-07-22,2010-07-22,2011-05-22,2011-05-22,2010-04-22,2010-04-22,2013-04-22,2013-04-22,-0.269444444444444,0.354,16.4683141097028,-0.421111111111111,0.176083333333333,15.9636257746578
"6",6,1,9.84489443478828,-19.2012387006356,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,114.140625,-867.46875,2011-03-08,2011,2013-03-30,"2013","2013/03","03","fin","Subpolar North Atlantic",2013,-19.2012387006356,-0.006,-0.292,-0.297,-19.499,2013-03-30,"30/03/2013","03","2013","F13065",88,6,2011-03-30,2012-09-30,2012-05-30,2012-06-30,2010-06-30,2011-04-30,2010-03-30,2013-03-30,2011-03-30,2011-03-30,2012-09-30,2012-09-30,2012-05-30,2012-05-30,2012-06-30,2012-06-30,2010-06-30,2010-06-30,2011-04-30,2011-04-30,2010-03-30,2010-03-30,2013-03-30,2013-03-30,-0.0316666666666667,0.279,16.8679360703143,-0.463611111111111,0.184138888888889,15.9321714137338
"7",7,2,10.0707055556679,-19.1707630814798,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,136.96875,-844.640625,2011-03-31,2011,2013-03-08,"2013","2013/03","03","fin","Subpolar North Atlantic",2013,-19.1707630814798,-0.006,-0.292,-0.297,-19.468,2013-03-08,"08/03/2013","03","2013","F13065",66,7,2011-03-08,2012-09-08,2012-05-08,2012-06-08,2010-06-08,2011-04-08,2010-03-08,2013-03-08,2011-03-08,2011-03-08,2012-09-08,2012-09-08,2012-05-08,2012-05-08,2012-06-08,2012-06-08,2010-06-08,2010-06-08,2011-04-08,2011-04-08,2010-03-08,2010-03-08,2013-03-08,2013-03-08,-0.0316666666666667,0.279,16.8679360703143,-0.463611111111111,0.184138888888889,15.9321714137338
"8",8,3,10.0696974703069,-19.1138752590556,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,159.796875,-821.8125,2011-04-23,2011,2013-02-13,"2013","2013/02","02","fin","Subpolar North Atlantic",2013,-19.1138752590556,-0.006,-0.292,-0.297,-19.411,2013-02-13,"13/02/2013","02","2013","F13065",43,8,2011-02-13,2012-08-13,2012-04-13,2012-05-13,2010-05-13,2011-03-13,2010-02-13,2013-02-13,2011-02-13,2011-02-13,2012-08-13,2012-08-13,2012-04-13,2012-04-13,2012-05-13,2012-05-13,2010-05-13,2010-05-13,2011-03-13,2011-03-13,2010-02-13,2010-02-13,2013-02-13,2013-02-13,0.00555555555555556,0.143,16.8829679039076,-0.4425,0.18775,16.0288514290205
"9",9,4,10.1352230187764,-19.1595886877893,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,182.625,-798.984375,2011-05-16,2011,2013-01-21,"2013","2013/01","01","fin","Subpolar North Atlantic",2013,-19.1595886877893,-0.006,-0.292,-0.297,-19.457,2013-01-21,"21/01/2013","01","2013","F13065",20,9,2011-01-21,2012-07-21,2012-03-21,2012-04-21,2010-04-21,2011-02-21,2010-01-21,2013-01-21,2011-01-21,2011-01-21,2012-07-21,2012-07-21,2012-03-21,2012-03-21,2012-04-21,2012-04-21,2010-04-21,2010-04-21,2011-02-21,2011-02-21,2010-01-21,2010-01-21,2013-01-21,2013-01-21,0.102222222222222,0.059,16.9328040666488,-0.490555555555556,0.1895,15.8264701749754
"10",10,5,10.1241340798046,-18.9879093665449,"A","F13065","female","immature",NA,NA,1717,NA,2013-07-23,NA,NA,"NA",2013,205.453125,-776.15625,2011-06-07,2011,2012-12-29,"2012","2012/12","12","fin","Subpolar North Atlantic",2012,-18.9879093665449,-0.01,-0.32,-0.329,-19.317,2012-12-29,"29/12/2012","12","2012","F13065",363,10,2010-12-29,2012-06-29,2012-02-29,2012-03-29,2010-03-29,2011-01-29,2009-12-29,2012-12-29,2010-12-29,2010-12-29,2012-06-29,2012-06-29,2012-02-29,2012-02-29,2012-03-29,2012-03-29,2010-03-29,2010-03-29,2011-01-29,2011-01-29,2009-12-29,2009-12-29,2012-12-29,2012-12-29,0.0888888888888889,0.005,16.7651639817924,-0.5375,0.187055555555556,15.6824821873583
